Population 2018 rank,Name,State,Population 2018 estimate,Population 2010 census,"Change(%,2010-2018)",Land area 2016(sqmi),Land area 2016(km2),Population density 2016(sqmi),Population density 2016(km2),"Location(N,W)",Elevation,Mayor,Time zone,Website,Area code,Demonym,male-female percentage,median household income,mean_housing_price,living index
96,"Fremont, California",California,237807,214089,11.08,77.5,200.72,3008,11612,"37.4945N,121.941W",56 ft (17 m),Carlos Hernández (R),UTC−8 (Pacific),http://www.fremont.gov,06-26000,Glendalian,(49.7%)(50.3%)," $122,419 "," $937,885 ", 149.5 
97,"Boise, Idaho",Idaho,228790,205671,11.24,82.1,212.62,2718,10492,"43.6002N,116.231W","2,730 ft (830 m)",Dave Bieter (D),UTC−7 (MST),http://www.cityofboise.org,16-08830,Boisean,(48.2%)(51.8%)," $55,199 "," $261,383 ", 92.1 
98,"Richmond, Virginia",Virginia,228783,204214,12.03,59.8,154.92,3732,14412,"37.5314N,77.476W",166.45 ft (45.7 m),Levar Stoney (D),UTC-5 (EST),http://www.ci.richmond.va.us/,51-76000,Richmonder,(47.6%)(52.4%)," $42,373 "," $273,651 ", 94.8 
99,"Baton Rouge, Louisiana",Louisiana,221599,229493,3.44,85.9,222.52,2651,10242,"30.4422N,91.130W",56 ft (17 m),Levar Stoney (D),UTC−6 (CST),http://www.brgov.com,22-05000,Baton Rougean,(47.6%)(52.4%)," $38,470 "," $209,659 ", 91.1 
100,"Spokane, Washington",Washington,219190,208916,4.92,68.7,177.92,3144,12142,"47.6669N,117.433W","1,843 ft (562 m)",David Condon (R),UTC−8 (PST),http://www.spokanecity.org,509,Spokanite,(48.6%)(51.4%)," $45,676 "," $204,209 ", 92.0 
101,"Des Moines, Iowa",Iowa,216853,203433,6.60,88.9,230.22,2424,9362,"41.5726N,93.610W",955 ft (291 m),Frank Cownie (D),UTC-6 (CST),http://www.dmgov.org/,19-21000,Spokanite,(50.2%)(49.8%)," $49,203 "," $145,225 ", 91.2 
102,"Tacoma, Washington",Washington,216279,198397,9.01,49.7,128.72,4251,16412,"47.2522N,122.459W",243 ft (74 m),Victoria Woodards  since 2018,UTC−8 (PST),http://www.cityoftacoma.org/,53-70000,Tacoman (plural: Tacomans),(50.3%)(49.7%)," $55,996 "," $274,266 ", 111.5 
103,"San Bernardino, California",California,215941,209924,2.87,61.5,159.32,3516,13582,"34.1416N,117.293W","1,053 ft (321 m)",John Valdivia,UTC−8 (Pacific),http://sbcity.org,06-65000,Tacoman (plural: Tacomans),(49.1%)(50.9%)," $39,472 "," $224,199 ", 118.8 
104,"Modesto, California",California,215030,201165,6.89,43.0,111.42,4934,19052,"37.6375N,121.003W",89 ft (27 m),Ted Brandvold,UTC−8 (Pacific),http://www.modestogov.com,06-48354,Tacoman (plural: Tacomans),(49.7%)(50.3%)," $55,013 "," $273,289 ", 96.4 
105,"Fontana, California",California,213739,196069,9.01,43.0,111.42,4876,18832,"34.1090N,117.462W","1,237 ft (377 m)",Ted Brandvold,UTC-8 (PST),http://fontana.org,06-24680,Tacoman (plural: Tacomans),(48.2%)(51.8%)," $66,073 "," $330,479 ", 117.9 
106,"Santa Clarita, California",California,210089,176320,19.15,52.8,136.82,3446,13312,"34.4030N,118.504W","1,207 ft (368 m)",Marsha McLean,UTC−08:00 (Pacific),http://www.santa-clarita.com,06-69088,Santa Claritan,(50.2%)(49.8%)," $94,649 "," $492,730 ", 131.1 
107,"Birmingham, Alabama",Alabama,209880,212237,1.11,146.1,378.42,1452,5612,"33.5274N,86.799W",644 ft (196 m),Randall Woodfin (D),UTC−6 (CST),http://www.birminghamal.gov/,01-07000,Birminghamian,(47.1%)(52.9%)," $36,241 "," $137,694 ", 87.2 
108,"Oxnard, California",California,209877,197899,6.05,26.9,69.72,7729,29842,"34.2023N,119.204W",52 ft (16 m),Randall Woodfin (D),UTC−8 (Pacific),https://www.oxnard.org,06-54652,Birminghamian,(50.0%)(50.0%)," $64,279 "," $441,086 ", 131.2 
109,"Fayetteville, North Carolina",North Carolina,209468,200564,4.44,147.7,382.52,1386,5352,"35.0828N,78.973W",263 ft (80 m),Mitch Colvin (D),UTC−5 (Eastern (EST)),http://www.ci.fayetteville.nc.us,37-22920,Birminghamian,(49.2%)(50.8%)," $42,918 "," $175,257 ", 89.8 
110,"Moreno Valley, California",California,209050,193365,8.11,51.3,132.92,4006,15472,"33.9233N,117.205W","1,631 ft (497 m)",Mitch Colvin (D),UTC−8 (Pacific),http://www.moreno-valley.ca.us,06-49270,Birminghamian,(48.0%)(52.0%)," $64,008 "," $289,226 ", 117.1 
111,"Rochester, New York",New York,206284,210565,2.03,35.8,92.72,5835,22532,"43.1699N,77.616W",505 ft (154 m),Lovely Warren (D),UTC−5 (EST),https://www.cityofrochester.gov,36-63000,Rochesterian,(48.4%)(51.6%)," $31,693 "," $112,457 ", 103.2 
112,"Glendale, California",California,201361,191719,5.03,30.4,78.72,6606,25512,"34.1814N,118.245W",522 ft (159 m),Lovely Warren (D),UTC−8 (Pacific),http://glendaleca.gov,06-30000,Rochesterian,(48.3%)(51.7%)," $64,611 "," $773,621 ", 144.2 
113,"Huntington Beach, California",California,200641,189992,5.60,26.9,69.72,7459,28802,"33.6906N,118.009W",39 ft (12 m),Lovely Warren (D),UTC−8 (Pacific),http://huntingtonbeachca.gov,06-36000,Rochesterian,(50.7%)(49.3%)," $86,112 "," $781,356 ", 131.0 
114,Salt Lake City,Utah,200591,186440,7.59,111.2,288.02,1742,6732,"40.7769N,111.931W","4,226 ft (1,288 m)",Jackie Biskupski (D),UTC−7 (Mountain),http://www.slcgov.com,49-67000,Salt Laker,(51.7%)(48.3%)," $56,994 "," $346,509 ", 92.4 
